# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2060
#@/user_id	fcec34f3-dfd0-45c0-8899-0d6cff196569
nan sheng 	男生	c=1 d=1 t=253
nan shou 	難受	c=1 d=1 t=883
nao zi 	腦子	c=1 d=1 t=160
ne 	呢	c=6 d=1.56198 t=2011
neng 	能	c=5 d=1.23485 t=1747
neng bu neng 	能不能	c=1 d=1 t=1820
neng bu xia 	能不下	c=1 d=1 t=469
neng li 	能力	c=1 d=1 t=1825
ni 	你	c=51 d=7.448 t=2027
ni kan 	你看	c=1 d=1 t=556
ni me 	你麼	c=1 d=1 t=1552
ni men 	你們	c=4 d=1.6848 t=1483
nian 	年	c=1 d=1 t=718
nin 	您	c=3 d=0.200838 t=749
ning jiao 	凝膠	c=1 d=1 t=1921
niu 	妞	c=1 d=1 t=680
niu 	牛	c=1 d=1 t=1879
niu pi 	牛皮	c=1 d=1 t=528
nong 	弄	c=1 d=1 t=1336
nv 	女	c=1 d=1 t=1204
nv hai 	女孩	c=2 d=1.93707 t=249
nv hai zi 	女孩子	c=1 d=1 t=281
nv sheng 	女生	c=2 d=1.01576 t=1170
o 	哦	c=2 d=1.03304 t=1965
o o 	哦哦	c=1 d=1 t=1896
pang ci 	胖次	c=1 d=1 t=1305
pei 	陪	c=1 d=1 t=991
peng you 	朋友	c=2 d=1.09585 t=1229
pi 	批	c=1 d=1 t=1963
pi 	皮	c=1 d=1 t=44
pi gu 	屁股	c=1 d=1 t=329
pi jiu 	啤酒	c=1 d=1 t=984
pi zhi xian 	皮脂腺	c=1 d=1 t=1937
piao 	嫖	c=4 d=1.11596 t=729
piao liang 	漂亮	c=2 d=1.96561 t=357
pou xi 	剖析	c=1 d=1 t=807
pu tong 	撲通	c=2 d=1.23812 t=338
pu tong 	普通	c=1 d=1 t=339
qi 	氣	c=1 d=1 t=2020
qi bu 	起步	c=1 d=1 t=1034
qi lai 	起來	c=1 d=1 t=145
qi shi 	其實	c=4 d=1.00945 t=2043
qian 	前	c=1 d=1 t=1318
qian mian 	前面	c=1 d=1 t=979
qian que 	欠缺	c=1 d=1 t=1828
qian tai 	前臺	c=1 d=1 t=1902
qie zi 	茄子	c=5 d=1.8059 t=797
qin 	秦	c=4 d=2.11894 t=539
qin 	親	c=1 d=1 t=237
qing jie 	清潔	c=0 d=0.1 t=1947
qing jie bu dao 	清潔不到	c=1 d=1 t=1948
qing kuang 	情況	c=1 d=1 t=905
qing xu 	情緒	c=2 d=1.92774 t=906
qing yong 	請用	c=1 d=1 t=1783
qu 	去	c=13 d=5.72867 t=1053
qu bie 	區別	c=2 d=1.75201 t=1514
qu di 	取締	c=1 d=1 t=1794
qu ti 	軀體	c=1 d=1 t=910
quan bu 	全部	c=3 d=1.96282 t=1268
que ding 	確定	c=1 d=1 t=306
que shi 	確實	c=1 d=1 t=1641
ran hou 	然後	c=1 d=1 t=899
ren 	人	c=5 d=1.09907 t=1836
ren jia 	人家	c=2 d=1.00698 t=1121
ren shi 	認識	c=1 d=1 t=1286
ren zhi 	認知	c=1 d=1 t=257
ri ben 	日本	c=1 d=1 t=1680
ri ben ren 	日本人	c=1 d=1 t=1777
ri chang 	日常	c=1 d=1 t=1808
ri wen 	日文	c=1 d=1 t=1784
rong yi 	容易	c=2 d=1.16203 t=1950
rou pian 	肉片	c=0 d=0.1 t=1005
ru guo 	如果	c=3 d=1.82967 t=1992
ruan jian 	軟件	c=2 d=1.42105 t=731
sha 	啥	c=3 d=1.84889 t=1683
shai xuan 	篩選	c=1 d=1 t=1433
shan le 	刪了	c=1 d=1 t=1473
shang 	上	c=3 d=1.23041 t=1257
shang mian 	上面	c=1 d=1 t=1254
shang yin 	上癮	c=1 d=1 t=415
shao wei 	稍微	c=1 d=1 t=402
shen me 	什麼	c=6 d=2.74929 t=1815
shen ti 	身體	c=1 d=1 t=71
shen zi 	身子	c=2 d=1.89583 t=1933
sheng 	生	c=1 d=1 t=2002
sheng yin 	聲音	c=1 d=1 t=1550
shi 	是	c=47 d=6.35862 t=1962
shi ba 	是吧	c=1 d=1 t=1240
shi bai 	失敗	c=1 d=1 t=1263
shi bie 	識別	c=1 d=1 t=107
shi bu shi 	是不是	c=2 d=1.18177 t=779
shi he 	適合	c=2 d=1.05698 t=1638
shi hou 	時候	c=1 d=1 t=582
shi ji shang 	實際上	c=1 d=1 t=671
shi ma 	是嗎	c=1 d=1 t=873
shi pin 	視頻	c=1 d=1 t=436
shi qing 	事情	c=3 d=1.2092 t=1997
shi yong 	使用	c=1 d=1 t=1639
shi you 	室友	c=1 d=1 t=1877
shou bing 	手柄	c=3 d=2.77856 t=1599
shou dong 	手動	c=1 d=1 t=31
shou qian 	收錢	c=1 d=1 t=644
shu 	書	c=1 d=1 t=479
shu fu 	舒服	c=1 d=1 t=433
shu ru 	輸入	c=1 d=1 t=1475
shu ru fa 	輸入法	c=2 d=1.85214 t=59
shua 	刷	c=1 d=1 t=1211
shuai 	帥	c=1 d=1 t=2019
shuai ge 	帥哥	c=1 d=1 t=1151
shuang 	雙	c=1 d=1 t=345
shui 	水	c=1 d=1 t=1865
shui 	睡	c=4 d=1.45635 t=2042
shui ba 	睡吧	c=1 d=1 t=1875
shui hu 	水壺	c=1 d=1 t=1183
shui hui 	誰會	c=1 d=1 t=12
shui jiao 	睡覺	c=3 d=1.93019 t=1891
shuo 	說	c=13 d=1.16851 t=1823
shuo hua 	說話	c=1 d=1 t=740
shuo qi lai 	說起來	c=1 d=1 t=1068
shuo shuo 	說說	c=1 d=1 t=585
song 	送	c=1 d=1 t=2035
suan 	算	c=2 d=1.0973 t=790
suan 	酸	c=1 d=1 t=1224
sui bian 	隨便	c=1 d=1 t=579
suo yi 	所以	c=5 d=1.06198 t=1849
suo you 	所有	c=2 d=1.52729 t=685
ta 	他	c=3 d=1.05452 t=1489
tai 	台	c=1 d=1 t=1320
tai 	太	c=1 d=1 t=1721
tai an 	泰安	c=1 d=1 t=795
tai can 	太慘	c=1 d=1 t=298
tai tu 	台圖	c=1 d=1 t=1720
tan lian ai 	談戀愛	c=1 d=1 t=2021
tao qian 	掏錢	c=1 d=1 t=702
tao yong 	套用	c=1 d=1 t=1692
te bie 	特別	c=1 d=1 t=2047
te zhi 	特指	c=1 d=1 t=1631
